file,GRASPMOD_of,GRASPMOD_runtime (s),PR1_of,PR1_runtime (s),PR2_of,PR2_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,352.72,0.1,352.72,0.02,352.72,0.0,352.72,0.05,352.72,0.01,355.5,0.1
MDG-a_12_100_m10.txt,354.25,0.11,354.25,0.01,354.25,0.0,354.25,0.03,354.25,0.01,348.36,0.1
MDG-a_13_n500_m50.txt,7720.45,6.71,7720.45,33.26,7720.45,0.05,7765.22,34.55,7723.06,16.42,7764.27,6.39
MDG-a_14_100_m10.txt,356.06,0.06,356.06,0.01,356.06,0.0,356.06,0.02,356.06,0.01,356.06,0.06
MDG-a_16_n500_m50.txt,7740.93,5.87,7740.93,31.59,7740.93,0.05,7755.57,32.32,7754.15,24.74,7676.21,6.32
MDG-a_17_n500_m50.txt,7772.52,5.53,7772.52,29.85,7772.52,0.05,7785.72,34.55,7785.72,31.36,7688.06,6.18
MDG-a_19_n500_m50.txt,7679.39,5.97,7679.89,34.66,7679.39,0.06,7691.18,38.08,7687.13,25.08,7689.32,6.69
MDG-a_1_100_m10.txt,360.15,0.1,360.15,0.02,360.15,0.0,360.15,0.04,360.15,0.01,360.15,0.08
MDG-a_20_100_m10.txt,348.68,0.11,348.68,0.02,348.68,0.0,348.68,0.04,348.68,0.01,348.68,0.1
MDG-a_20_n500_m50.txt,7639.04,6.84,7639.04,28.57,7639.04,0.05,7685.33,29.63,7673.08,19.9,7653.41,7.09
MDG-a_2_n500_m50.txt,7671.33,6.23,7671.59,36.95,7671.59,0.06,7692.06,38.96,7671.59,36.66,7659.84,6.44
MDG-a_4_100_m10.txt,353.51,0.09,353.51,0.01,353.51,0.0,353.51,0.02,353.51,0.01,352.44,0.06
MDG-a_5_n500_m50.txt,7653.04,6.74,7653.1,30.86,7653.04,0.05,7674.82,30.81,7663.6,20.16,7699.01,6.79
MDG-a_6_n500_m50.txt,7720.96,5.92,7720.96,25.92,7720.96,0.05,7738.59,28.62,7720.96,21.51,7685.82,6.84
MDG-a_9_n500_m50.txt,7700.59,5.89,7700.59,29.82,7700.59,0.05,7710.71,29.41,7722.84,31.75,7726.37,6.9
