file,GRASPMOD_of,GRASPMOD_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,354.96,0.16,355.5,0.18
MDG-a_12_100_m10.txt,354.25,0.17,354.25,0.22
MDG-a_13_n500_m50.txt,7741.85,19.26,7717.03,25.15
MDG-a_14_100_m10.txt,356.06,0.3,356.06,0.33
MDG-a_16_n500_m50.txt,7737.52,22.39,7751.28,25.18
MDG-a_17_n500_m50.txt,7679.46,24.19,7650.63,24.47
MDG-a_19_n500_m50.txt,7743.03,12.35,7719.68,16.17
MDG-a_1_100_m10.txt,360.15,0.19,360.15,0.2
MDG-a_20_100_m10.txt,349.31,0.15,349.31,0.18
MDG-a_20_n500_m50.txt,7694.18,13.86,7651.75,12.21
MDG-a_2_n500_m50.txt,7704.52,12.93,7692.68,13.74
MDG-a_4_100_m10.txt,355.72,0.2,355.72,0.19
MDG-a_5_n500_m50.txt,7698.12,12.72,7675.65,13.21
MDG-a_6_n500_m50.txt,7706.13,12.21,7730.14,13.44
MDG-a_9_n500_m50.txt,7736.07,12.13,7709.47,14.41
